IssueId,Phase,Type,Title,DependsOn,OwnerTeam,Priority,Status,AcceptanceCriteria,ArtifactPaths,QualityGates,Labels
F2-STORY-051,P05,STORY,Implement mode-aware UX skeleton,F2-EPIC-050,ui-foundation-team,P0,Done,"Quick/operator/architect gating behaves per contract","apps/web/src/index.html;apps/web/src/mode-aware-ux.js;apps/web/src/mode-aware-ux.css;docs/ui-foundation-hci-metrics-contract.md;tests/e2e/smoke-journeys.md;tests/evidence/p05/f2-task-051-mode-aware-ux-skeleton.md","qa-playwright-evidence","ui,modes"
F2-STORY-052,P05,STORY,Operationalize QA evidence conventions,F2-EPIC-050,qa-team,P0,Done,"Evidence paths and naming conventions consistently used","docs/qa-evidence-storage-convention.md;scripts/validate-qa-evidence-policy.py","qa-playwright-evidence","qa,evidence"
F2-TASK-053,P05,TASK,Define user-facing smoke journeys,F2-STORY-051,qa-team,P1,Done,"Critical user flows are scripted and tested","tests/e2e/smoke-journeys.md;tests/evidence/p05/f2-task-053-smoke-journeys-baseline.md","qa-playwright-evidence","e2e,smoke"
F2-TASK-054,P05,TASK,Enforce fail-fix-retest evidence rule,F2-STORY-052,qa-team,P1,Done,"Failed tests always show retest proof before closure","docs/qa-evidence-storage-convention.md;scripts/validate-qa-evidence-policy.py","qa-playwright-evidence","qa,discipline"
F2-TASK-055,P05,TASK,Add evidence retention policy checks,F2-STORY-052,qa-team,P2,Done,"Release evidence retained per policy windows","docs/qa-evidence-storage-convention.md;scripts/validate-qa-evidence-policy.py","qa-playwright-evidence","qa,retention"
F2-TASK-056,P05,TASK,Validate no-sensitive-data screenshots,F2-STORY-052,security-team,P1,Done,"Sensitive data masking checks added to QA process","docs/qa-evidence-storage-convention.md;scripts/validate-qa-evidence-policy.py","security-sbom;qa-playwright-evidence","privacy,qa"

F2-EPIC-060,P06,EPIC,Billing adapter framework foundation,F2-EPIC-040,integration-team,P0,Done,"Adapter framework is canonical-first and provider-neutral","docs/billing-direct-integration-contract.md;docs/playbooks/billing-phase1-stubs.md;services/mcp/src/billing/;tests/evidence/p06/f2-task-063-registry-routing-hardening.md;tests/evidence/p06/f2-task-064-canonical-handoff-validation.md;tests/evidence/p06/f2-task-065-phase1-stub-playbook.md;tests/evidence/p06/f2-task-066-stub-fixture-version-mapping.md","contract-drift","epic,billing"
F2-STORY-061,P06,STORY,Finalize shared billing adapter interfaces,F2-EPIC-060,integration-team,P0,Done,"Adapter lifecycle functions align to direct billing contract","docs/billing-direct-integration-contract.md;services/mcp/src/billing/types.ts;services/mcp/src/billing/registry.ts;services/mcp/src/billing/tools/billing-ingest-tools.ts;tests/evidence/p06/f2-task-063-registry-routing-hardening.md;tests/evidence/p06/f2-task-064-canonical-handoff-validation.md","contract-drift","billing,interfaces"
F2-STORY-062,P06,STORY,Operationalize phase-1 stubs with fixtures,F2-EPIC-060,integration-team,P0,Done,"OpenOps/AWS/Azure/GCP stubs and fixture sets exist","docs/playbooks/billing-phase1-stubs.md;tests/contracts/fixtures/mcp/;tests/evidence/p06/f2-task-065-phase1-stub-playbook.md;tests/evidence/p06/f2-task-066-stub-fixture-version-mapping.md","contract-drift","billing,stubs"
F2-TASK-063,P06,TASK,Harden registry and adapter routing,F2-STORY-061,integration-team,P1,Done,"Adapter registry resolves by adapterId with safe defaults","services/mcp/src/billing/registry.ts;services/mcp/src/billing/tools/billing-ingest-tools.ts;tests/evidence/p06/f2-task-063-registry-routing-hardening.md","contract-drift","billing,registry"
F2-TASK-064,P06,TASK,Define canonical handoff validation checks,F2-STORY-061,qa-team,P1,Done,"Canonical handoff fields validated for all phase-1 tools","docs/billing-direct-integration-contract.md;scripts/validate-billing-canonical-handoff.py;tests/evidence/p06/f2-task-064-canonical-handoff-validation.md","contract-drift","billing,canonical"
F2-TASK-065,P06,TASK,Document phase-1 stub playbook,F2-STORY-062,platform-core,P2,Done,"Implementation and upgrade guidance documented","docs/playbooks/billing-phase1-stubs.md;tests/evidence/p06/f2-task-065-phase1-stub-playbook.md","docs-link-validation","billing,playbook"
F2-TASK-066,P06,TASK,Map stub fixtures to contract versions,F2-STORY-062,qa-team,P1,Done,"Fixture folders mapped by tool and schema version","docs/playbooks/billing-phase1-stubs.md;tests/contracts/fixtures/mcp/;tests/evidence/p06/f2-task-066-stub-fixture-version-mapping.md","contract-drift","fixtures,billing"

F2-EPIC-070,P07,EPIC,Tier-1 real SDK ingest rollout,F2-EPIC-060,integration-team,P0,In Progress,"Real read-only ingestion replaces stubs for tier-1 providers","docs/provider-sdk-integration-strategy.md;docs/billing-direct-integration-contract.md;docs/environment-secret-management-contract.md;services/mcp/src/billing/adapters/openops.ts","security-sbom;contract-drift","epic,billing,sdk"
F2-STORY-071,P07,STORY,Implement OpenOps real ingestion,F2-EPIC-070,integration-team,P0,Done,"OpenOps adapter returns real mapped billing payloads","services/mcp/src/billing/adapters/openops.ts;services/mcp/src/billing/tools/billing-ingest-tools.ts;tests/contracts/fixtures/mcp/billing.openops.ingest/1.0/;tests/evidence/p07/f2-story-071-openops-real-ingest.md","contract-drift","openops,ingest"
F2-STORY-072,P07,STORY,Implement AWS real ingestion,F2-EPIC-070,integration-team,P0,Done,"AWS adapter uses read-only SDK/API access and mapping profile","services/mcp/src/billing/adapters/aws.ts;tests/contracts/fixtures/mcp/billing.aws.ingest/1.0/;tests/evidence/p07/f2-story-072-aws-real-ingest.md","security-sbom;contract-drift","aws,ingest"
F2-STORY-073,P07,STORY,Implement Azure real ingestion,F2-EPIC-070,integration-team,P0,Todo,"Azure adapter uses scoped credentials and contract mapping","services/mcp/src/billing/adapters/azure.ts","security-sbom;contract-drift","azure,ingest"
F2-STORY-074,P07,STORY,Implement GCP real ingestion,F2-EPIC-070,integration-team,P0,Todo,"GCP adapter uses billing account scope and recommender-ready provenance","services/mcp/src/billing/adapters/gcp.ts","security-sbom;contract-drift","gcp,ingest"
F2-TASK-075,P07,TASK,Define credentials contract for tier-1 providers,F2-STORY-071,security-team,P0,Done,"Auth model documented with least privilege scopes","docs/environment-secret-management-contract.md;docs/billing-direct-integration-contract.md;.env.example;tests/evidence/p07/f2-task-075-credentials-contract.md","security-sbom","credentials,security"
F2-TASK-076,P07,TASK,Implement retry and rate-limit strategy,F2-STORY-072,integration-team,P1,Done,"429/timeout retries and backoff policy implemented","services/mcp/src/billing/adapters/aws.ts;docs/billing-adapter-aws-contract.md;tests/evidence/p07/f2-task-076-retry-rate-limit-strategy.md","contract-drift","resilience,network"
F2-TASK-077,P07,TASK,Implement pagination and incremental sync,F2-STORY-073,integration-team,P1,Todo,"Large billing periods sync without data truncation","services/mcp/src/billing/","contract-drift","sync,pagination"
F2-TASK-078,P07,TASK,Add integration telemetry for ingest runs,F2-STORY-074,agent-platform,P1,Todo,"billing.run and mapping summary telemetry emitted","docs/billing-direct-integration-contract.md","contract-drift","telemetry,billing"
F2-TASK-079,P07,TASK,Expand provider-specific fixture coverage,F2-STORY-074,qa-team,P1,Todo,"Edge-case fixtures added for tier-1 providers","tests/contracts/fixtures/mcp/","contract-drift","fixtures,providers"
F2-TASK-080,P07,TASK,Validate ingest quality metrics in stage,F2-STORY-071,qa-team,P0,Todo,"Stage metrics meet contract thresholds","docs/billing-adapter-openops-contract.md;docs/billing-adapter-aws-contract.md;docs/billing-adapter-azure-contract.md;docs/billing-adapter-gcp-contract.md","qa-playwright-evidence;contract-drift","metrics,stage"
F2-TASK-081,P07,TASK,Document provider-specific mapping profiles,F2-STORY-072,integration-team,P1,Done,"Mapping profiles versioned and documented","docs/provider-sdk-integration-strategy.md;docs/billing-adapter-aws-contract.md;tests/evidence/p07/f2-task-081-aws-mapping-profiles.md","contract-drift","mapping,profiles"
F2-TASK-082,P07,TASK,Add ingest error normalization,F2-STORY-073,agent-platform,P1,Todo,"Auth/runtime/validation errors normalized for UI and MCP clients","services/mcp/src/billing/tools/billing-ingest-tools.ts","contract-drift","errors,api"
F2-TASK-083,P07,TASK,Create tier-1 cutover checklist,F2-STORY-074,platform-core,P2,Todo,"Checklist for replacing stubs with real APIs documented","docs/playbooks/billing-phase1-stubs.md","docs-link-validation","checklist,billing"

F2-EPIC-090,P08,EPIC,Optimization intelligence and next-move engine,F2-EPIC-070,recommendation-team,P0,Todo,"Provider recommendations normalized and ranked centrally","docs/provider-sdk-integration-strategy.md","contract-drift","epic,recommendation"
F2-STORY-091,P08,STORY,Define canonical recommendation action model,F2-EPIC-090,recommendation-team,P0,Todo,"Action model fields finalized and versioned","docs/provider-sdk-integration-strategy.md","contract-drift","recommendation,model"
F2-STORY-092,P08,STORY,Integrate provider recommendation feeds,F2-EPIC-090,integration-team,P0,Todo,"Tier-1 providers emit recommendation payloads","services/mcp/src/billing/","contract-drift","recommendation,provider"
F2-TASK-093,P08,TASK,Implement cross-provider ranking logic,F2-STORY-091,recommendation-team,P1,Todo,"Ranking by savings, risk, effort, confidence is deterministic","src/features/recommendation-module/feature.json","contract-drift","ranking,engine"
F2-TASK-094,P08,TASK,Attach provider evidence references,F2-STORY-092,recommendation-team,P1,Todo,"Each recommendation includes evidenceRef/sourceVersion","docs/provider-sdk-integration-strategy.md","contract-drift","evidence,traceability"
F2-TASK-095,P08,TASK,Map recommendations to health-score context,F2-STORY-091,recommendation-team,P1,Todo,"Action plan reflects current zone and failed checks","docs/health-score-module-contract.md;docs/recommendation-module-contract.md","contract-drift","health,recommendation"
F2-TASK-096,P08,TASK,Add recommendation parity fixtures,F2-STORY-091,qa-team,P1,Todo,"Fixture coverage for provider/category/zone routing complete","tests/contracts/fixtures/","contract-drift","fixtures,recommendation"
F2-TASK-097,P08,TASK,Expose next-move summary in MCP response,F2-STORY-092,agent-platform,P1,Todo,"MCP tools include ranked next-move payload","docs/mcp-evolution-contract.md","contract-drift","mcp,next-move"
F2-TASK-098,P08,TASK,Add explainability annotations,F2-STORY-091,recommendation-team,P2,Todo,"Recommendation reasons and confidence factors documented","docs/reference-evidence-module-contract.md","review-required","explainability,trust"
F2-TASK-099,P08,TASK,Validate recommendation quality against scenarios,F2-STORY-092,qa-team,P1,Todo,"Demo scenarios validate expected recommendation ordering","docs/demo-scenarios-module-contract.md","qa-playwright-evidence;contract-drift","scenarios,quality"

F2-EPIC-105,P09,EPIC,Community and AI contribution operations,F2-EPIC-010,governance-office,P0,Todo,"Community lanes operate under enforceable trust and disclosure rules","docs/community-module-contribution-contract.md;docs/ai-agent-contribution-policy.md","ci-guardrails;security-sbom","epic,community,ai"
F2-STORY-106,P09,STORY,Operationalize trust-tier lifecycle,F2-EPIC-105,governance-office,P0,Todo,"Tier progression and exception handling process active","docs/community-module-contribution-contract.md","review-required","trust-tier,governance"
F2-STORY-107,P09,STORY,Operationalize AI provenance enforcement,F2-EPIC-105,governance-office,P0,Todo,"PRs enforce contribution type and sponsor accountability","blueprints/ficecal-monorepo/.github/PULL_REQUEST_TEMPLATE.md","ci-guardrails","ai,provenance"
F2-TASK-108,P09,TASK,Seed community project backlog,F2-STORY-106,platform-core,P1,Todo,"Community issue seed rows imported to project","blueprints/ficecal-monorepo/docs/references/github-project-community-seed.csv","review-required","project,community"
F2-TASK-109,P09,TASK,Run first contributor-ready PR bundle,F2-STORY-107,platform-core,P1,Todo,"First sample PR follows all provenance and governance checks","blueprints/ficecal-monorepo/docs/playbooks/community-first-pr-bundle.md","qa-playwright-evidence;security-sbom","onboarding,community"
F2-TASK-110,P09,TASK,Validate sponsor review enforcement,F2-STORY-107,governance-office,P1,Todo,"Sponsor required for ai-assisted and agent-authored contributions","docs/ai-agent-contribution-policy.md","ci-guardrails","sponsor,policy"
F2-TASK-111,P09,TASK,Add community module promotion checklist,F2-STORY-106,governance-office,P2,Todo,"Tier-1 to tier-3 promotion checklist documented","docs/community-module-contribution-contract.md","review-required","promotion,community"
F2-TASK-112,P09,TASK,Audit community path CODEOWNERS coverage,F2-STORY-106,platform-core,P1,Todo,"Community folders and policy docs covered by CODEOWNERS","blueprints/ficecal-monorepo/.github/CODEOWNERS","ci-guardrails","codeowners,community"
F2-TASK-113,P09,TASK,Publish contribution onboarding walkthrough,F2-STORY-107,docs-team,P2,Todo,"Contributor path documented end-to-end","blueprints/ficecal-monorepo/docs/playbooks/community-contribution-guide.md","docs-link-validation","docs,onboarding"
F2-TASK-114,P09,TASK,Track policy violation handling workflow,F2-STORY-107,governance-office,P2,Todo,"Violation and remediation workflow documented","docs/ai-agent-contribution-policy.md","review-required","policy,enforcement"

F2-EPIC-120,P10,EPIC,Security compliance and release reliability,F2-EPIC-010,security-team,P0,Todo,"Security posture and release controls are operational","docs/security-compliance-ops-runbook.md","security-sbom","epic,security"
F2-STORY-121,P10,STORY,Operationalize SBOM and dependency scanning,F2-EPIC-120,security-team,P0,Todo,"SBOM generated and blocking thresholds enforced","docs/security-compliance-ops-runbook.md","security-sbom","sbom,dependencies"
F2-STORY-122,P10,STORY,Operationalize secret hygiene and rotation,F2-EPIC-120,security-team,P0,Todo,"Rotation evidence and leak response workflow active","docs/environment-secret-management-contract.md","security-sbom","secrets,rotation"
F2-TASK-123,P10,TASK,Define security exception register,F2-STORY-121,security-team,P1,Todo,"Exceptions include owner, expiry, controls, issue ID","docs/security-compliance-ops-runbook.md","security-sbom","exceptions,risk"
F2-TASK-124,P10,TASK,Define CVE triage operating cadence,F2-STORY-121,security-team,P1,Todo,"Critical/high SLA workflow is measurable","docs/security-compliance-ops-runbook.md","security-sbom","cve,sla"
F2-TASK-125,P10,TASK,Validate no-secret-in-artifacts workflow,F2-STORY-122,qa-team,P1,Todo,"CI and reviewer checks prevent secret leakage in artifacts","docs/qa-evidence-storage-convention.md","security-sbom;qa-playwright-evidence","secrets,qa"
F2-TASK-126,P10,TASK,Run secret exposure incident drill,F2-STORY-122,security-team,P1,Todo,"Incident steps executed and gaps documented","docs/operational-incident-playbooks.md","security-sbom","incident,drill"
F2-TASK-127,P10,TASK,Attach security summary to release template,F2-STORY-121,platform-core,P2,Todo,"Release notes include scan and remediation summary","docs/security-compliance-ops-runbook.md","security-sbom","release,security"
F2-TASK-128,P10,TASK,Validate environment key completeness,F2-STORY-122,platform-core,P1,Todo,"Required environment contract keys exist per env","docs/environment-secret-management-contract.md","security-sbom","env,config"
F2-TASK-129,P10,TASK,Audit external exposure components,F2-STORY-121,security-team,P1,Todo,"Internet-exposed components tracked with risk status","docs/security-compliance-ops-runbook.md","security-sbom","exposure,audit"

F2-EPIC-135,P11,EPIC,Cutover rehearsal and go-no-go,F2-EPIC-120,platform-core,P0,Todo,"Cutover is rehearsed with rollback confidence","docs/monorepo-cutover-runbook.md","qa-playwright-evidence;security-sbom","epic,cutover"
F2-STORY-136,P11,STORY,Run full deployment rehearsal,F2-EPIC-135,platform-core,P0,Todo,"Pages and dynamic service deployment rehearsal completed","docs/hosting-deployment-contract.md","qa-playwright-evidence","deployment,rehearsal"
F2-STORY-137,P11,STORY,Validate rollback and incident flows,F2-EPIC-135,platform-core,P0,Todo,"Rollback playbooks tested and timed","docs/monorepo-cutover-runbook.md;docs/operational-incident-playbooks.md","qa-playwright-evidence;security-sbom","rollback,incident"
F2-TASK-138,P11,TASK,Run Pages deployment smoke checks,F2-STORY-136,qa-team,P1,Todo,"Pages deployment and route health checks pass",".github/workflows/pages-deploy.yml","qa-playwright-evidence","pages,smoke"
F2-TASK-139,P11,TASK,Run Render health smoke checks,F2-STORY-136,qa-team,P1,Todo,"Render health workflow returns HTTP 200",".github/workflows/render-health-smoke.yml","qa-playwright-evidence","render,smoke"
F2-TASK-140,P11,TASK,Verify cross-env config alignment,F2-STORY-136,platform-core,P1,Todo,"dev/stage/prod config contract validated","docs/environment-secret-management-contract.md","security-sbom","config,environments"
F2-TASK-141,P11,TASK,Execute rollback simulation,F2-STORY-137,platform-core,P0,Todo,"Rollback to prior stable release tested successfully","docs/monorepo-cutover-runbook.md","qa-playwright-evidence","rollback,test"
F2-TASK-142,P11,TASK,Publish go-no-go decision record,F2-STORY-137,governance-office,P0,Todo,"Decision includes blockers, mitigations, and signoffs","docs/roadmap/ficecal-v2-task-issue-registry.md","review-required","go-no-go,governance"

F2-EPIC-145,P12,EPIC,Production cutover and hypercare,F2-EPIC-135,platform-core,P0,Todo,"Production release and stabilization complete","docs/monorepo-cutover-runbook.md","qa-playwright-evidence;security-sbom","epic,release"
F2-STORY-146,P12,STORY,Execute production cutover,F2-EPIC-145,platform-core,P0,Todo,"Production deployment executed with all required checks green","docs/hosting-deployment-contract.md","qa-playwright-evidence;security-sbom","cutover,prod"
F2-STORY-147,P12,STORY,Run hypercare operations,F2-EPIC-145,platform-core,P0,Todo,"Daily triage and KPI monitoring active during hypercare window","docs/operational-incident-playbooks.md","qa-playwright-evidence;security-sbom","hypercare,ops"
F2-TASK-148,P12,TASK,Capture release artifacts and evidence,F2-STORY-146,qa-team,P1,Todo,"Release artifacts and QA/security evidence linked","tests/evidence/","qa-playwright-evidence;security-sbom","release,evidence"
F2-TASK-149,P12,TASK,Track post-release incidents,F2-STORY-147,platform-core,P1,Todo,"Incidents logged with severity and resolution SLA","docs/operational-incident-playbooks.md","review-required","incident,tracking"
F2-TASK-150,P12,TASK,Run daily contract drift checks,F2-STORY-147,qa-team,P1,Todo,"No unresolved critical drift during hypercare","docs/contract-test-fixture-pack.md","contract-drift","drift,hypercare"
F2-TASK-151,P12,TASK,Close hypercare with KPI report,F2-STORY-147,platform-core,P0,Todo,"Hypercare closure report approved","docs/roadmap/ficecal-v2-task-issue-registry.md","review-required","kpi,closure"
F2-TASK-152,P12,TASK,Hand over to steady-state cadence,F2-STORY-147,governance-office,P1,Todo,"Operational ownership and cadence transition completed","docs/roadmap/ficecal-v2-task-issue-registry.md","review-required","handover,operations"

F2-EPIC-155,P13,EPIC,Tier-2 provider expansion and roadmap continuation,F2-EPIC-145,platform-core,P1,Todo,"Tier-2 providers and next roadmap themes are planned and started","docs/provider-sdk-integration-strategy.md","contract-drift;security-sbom","epic,expansion"
F2-STORY-156,P13,STORY,Implement OCI and IBM direct ingest,F2-EPIC-155,integration-team,P1,Todo,"OCI and IBM adapters move from placeholder to real ingest","docs/billing-adapter-oci-contract.md;docs/billing-adapter-ibm-contract.md","contract-drift;security-sbom","oci,ibm"
F2-STORY-157,P13,STORY,Implement Alibaba and Huawei direct ingest,F2-EPIC-155,integration-team,P1,Todo,"Alibaba and Huawei adapters move from placeholder to real ingest","docs/billing-adapter-alibaba-contract.md;docs/billing-adapter-huawei-contract.md","contract-drift;security-sbom","alibaba,huawei"
F2-TASK-158,P13,TASK,Create tier-2 auth and permission playbooks,F2-STORY-156,security-team,P1,Todo,"Provider-specific auth playbooks documented","docs/provider-sdk-integration-strategy.md","security-sbom","auth,tier2"
F2-TASK-159,P13,TASK,Add tier-2 fixture packs,F2-STORY-156,qa-team,P1,Todo,"OCI/IBM/Alibaba/Huawei fixture sets created","tests/contracts/fixtures/mcp/","contract-drift","fixtures,tier2"
F2-TASK-160,P13,TASK,Add tier-2 stage performance baselines,F2-STORY-157,qa-team,P2,Todo,"Latency and ingest success baselines documented","docs/billing-direct-integration-contract.md","contract-drift","performance,tier2"
